date,open,high,low,close,volume,interval,vol_zscore,single_candle,multi_candle,candle,CDL_open,CDL_high,CDL_low,CDL_close,CDL_body_size,CDL_shadow_ratio,range_to_body_ratio,type,cdl_emotion,cdl_strength,cdl_implication,cdl_direction,last_close,price_dir,price_chg
2025-06-23 13:10:00+05:30,516.95,517.3,516.0,516.05,12612,5minute,0.6698667734722901,unknown,bearish_engulfing,bearish_engulfing,516.95,517.3,516.0,516.05,0.0017440170526113574,0.44444444444424797,1.4444283952398564,bearish,decisive,strong,reversal,down,516.05,sideways,0.0
2025-06-23 13:15:00+05:30,516.05,517.0,516.05,516.45,6255,5minute,-1.009973522744202,bullish_belt_hold,unknown,bullish_belt_hold,516.05,517.0,516.05,516.45,0.0007745183464035064,1.3749999999995737,2.3749406264839115,bullish,decisive,moderate,reversal,up,516.45,sideways,0.0
2025-06-23 13:20:00+05:30,516.45,516.45,515.35,515.6,12904,5minute,0.8852988147270158,bearish_belt_hold,bearish_engulfing,bearish_engulfing,516.45,516.45,515.35,515.6,0.0016485647788984149,0.29411764705881566,1.2941024223244355,bearish,decisive,strong,reversal,down,515.35,down,-0.01
2025-06-23 13:25:00+05:30,515.6,516.15,515.1,515.35,8058,5minute,-0.48318006148495984,unknown,unknown,unknown,,,,,,,4.199832006719549,,,,,,,sideways,
2025-06-23 13:30:00+05:30,515.75,516.05,515.3,515.4,6447,5minute,-0.8357659876233943,unknown,unknown,unknown,,,,,,,2.142795920116429,,,,,,,sideways,
2025-06-23 13:35:00+05:30,515.5,515.8,515.4,515.8,6370,5minute,-0.7899035347466744,unknown,unknown,unknown,,,,,,,1.3332888903704472,,,,,,,sideways,
2025-06-23 13:40:00+05:30,515.7,516.7,515.7,516.5,12645,5minute,1.1661122074857257,bullish_belt_hold,unknown,bullish_belt_hold,515.7,516.7,515.7,516.5,0.0015488867376572209,0.25000000000007105,1.2499843751953812,bullish,decisive,moderate,reversal,up,518.25,up,0.28
2025-06-23 13:45:00+05:30,516.65,516.9,516.35,516.8,7013,5minute,-0.6836343351785603,unknown,stalled_pattern,stalled_pattern,516.65,516.9,516.35,516.8,0.0002902476780185319,2.666666666666919,3.6664222385176846,bearish,indecision,moderate,reversal,down,516.8,sideways,0.0
2025-06-23 13:50:00+05:30,516.8,517.95,516.65,517.5,25356,5minute,2.8556597670991866,unknown,unknown,unknown,,,,,,,1.8571163269095925,,,,,,,sideways,
2025-06-23 13:55:00+05:30,517.5,518.4,517.5,517.95,22147,5minute,1.7807554547886348,bullish_belt_hold,three_white_soldiers,three_white_soldiers,517.5,518.4,517.5,517.95,0.0008688097306690713,0.9999999999997473,1.9999555565429352,bullish,decisive,strong,continuation,up,518.25,up,0.06
