start_time,tradingsymbol,entry_ltp,entry_ltp_minus_1,low_time,low_ltp,high_time,high_ltp
10/9/2025 12:34,NIFTY25O1425150CE,113.9,112.9,2025-10-09 12:37:00+05:30,111.3,2025-10-09 12:35:00+05:30,118.9
10/9/2025 12:49,NIFTY25O1425150CE,115.8,114.8,2025-10-09 12:53:50+05:30,107.45,2025-10-09 12:49:50+05:30,118.4
10/9/2025 13:07,NIFTY25O1425150CE,109.2,108.2,2025-10-09 13:11:05+05:30,103.85,2025-10-09 13:07:05+05:30,109.4
10/9/2025 13:19,NIFTY25O1425150CE,109.55,108.55,2025-10-09 13:22:45+05:30,105.4,2025-10-09 13:19:45+05:30,112.95
10/9/2025 13:28,NIFTY25O1425150CE,116.2,115.2,2025-10-09 13:29:54+05:30,114.3,2025-10-09 13:30:54+05:30,123.65
10/9/2025 13:32,NIFTY25O1425150PE,66.45,65.45,2025-10-09 13:32:06+05:30,65.65,2025-10-09 13:33:06+05:30,71.15
10/9/2025 13:34,NIFTY25O1425150CE,117.3,116.3,2025-10-09 13:38:07+05:30,110.65,2025-10-09 13:35:07+05:30,121.5
10/9/2025 13:40,NIFTY25O1425150CE,115.3,114.3,2025-10-09 13:41:59+05:30,110.6,2025-10-09 13:40:59+05:30,115.8
10/9/2025 13:43,NIFTY25O1425150PE,71.45,70.45,2025-10-09 13:44:47+05:30,68.3,2025-10-09 13:45:47+05:30,72.4
10/9/2025 13:46,NIFTY25O1425150CE,113.95,112.95,2025-10-09 13:46:07+05:30,113.4,2025-10-09 13:47:07+05:30,121.3
10/9/2025 13:51,NIFTY25O1425150CE,118.55,117.55,2025-10-09 13:52:12+05:30,114.5,2025-10-09 13:55:12+05:30,127.65
10/9/2025 14:14,NIFTY25O1425150CE,109.65,108.65,2025-10-09 14:18:11+05:30,98.85,2025-10-09 14:17:11+05:30,111.55
10/9/2025 14:30,NIFTY25O1425150CE,96.4,95.4,2025-10-09 14:30:46+05:30,94.15,2025-10-09 14:30:46+05:30,99.35
10/9/2025 14:32,NIFTY25O1425150PE,74.3,73.3,2025-10-09 14:32:32+05:30,73.5,2025-10-09 14:34:32+05:30,82.4
10/9/2025 14:38,NIFTY25O1425150CE,96.6,95.6,2025-10-09 14:39:10+05:30,95.6,2025-10-09 14:39:10+05:30,100.85
10/9/2025 14:41,NIFTY25O1425150PE,75.65,74.65,2025-10-09 14:42:00+05:30,67.9,2025-10-09 14:41:00+05:30,76.6
10/9/2025 14:43,NIFTY25O1425150CE,103,102,2025-10-09 14:43:29+05:30,100.3,2025-10-09 14:47:29+05:30,109.8
10/9/2025 14:48,NIFTY25O1425150CE,105.8,104.8,2025-10-09 14:49:51+05:30,98.6,2025-10-09 14:48:51+05:30,106.85
10/9/2025 14:53,NIFTY25O1425150PE,68.85,67.85,2025-10-09 14:56:07+05:30,64.35,2025-10-09 14:53:07+05:30,68.7
10/9/2025 15:09,NIFTY25O1425200PE,77.1,76.1,2025-10-09 15:09:48+05:30,77.05,2025-10-09 15:13:48+05:30,84
2025-10-09 09:27:00,NIFTY25O1425100CE,113.7,112.7,2025-10-09 09:27:00+05:30,109.6,2025-10-09 09:30:00+05:30,124.15,120.9
2025-10-09 09:31:00,NIFTY25O1425100PE,86.3,85.3,2025-10-09 09:31:00+05:30,80.3,2025-10-09 09:32:00+05:30,91.35,89.15
2025-10-09 09:34:00,NIFTY25O1425100CE,109.8,108.8,2025-10-09 09:36:00+05:30,97.0,2025-10-09 09:38:00+05:30,112.1,112.1
2025-10-09 09:39:00,NIFTY25O1425100PE,86.35,85.35,2025-10-09 09:39:00+05:30,84.7,2025-10-09 09:43:00+05:30,102.1,99.5
2025-10-09 09:51:00,NIFTY25O1425050CE,113.95,112.95,2025-10-09 09:53:00+05:30,106.85,2025-10-09 09:54:00+05:30,120.6,120.5
2025-10-09 09:55:00,NIFTY25O1425050PE,82.65,81.65,2025-10-09 09:55:00+05:30,79.35,2025-10-09 09:56:00+05:30,86.05,85.6
2025-10-09 09:57:00,NIFTY25O1425050CE,115.7,114.7,2025-10-09 10:00:00+05:30,106.25,2025-10-09 09:57:00+05:30,121.85,116.75
2025-10-09 10:02:00,NIFTY25O1425050CE,116.2,115.2,2025-10-09 10:02:00+05:30,113.6,2025-10-09 10:02:00+05:30,120.45,119.85
2025-10-09 10:03:00,NIFTY25O1425050PE,84.55,83.55,2025-10-09 10:03:00+05:30,77.85,2025-10-09 10:05:00+05:30,86.3,86.2
